GeneID	Chr	Start	End	Strand
MIR135B	1	205448302	205448398	-
MIR6769B	1	206474803	206474864	+
MIR29C	1	207801852	207801939	-
MIR29B2	1	207802443	207802523	-
MIR205	1	209432133	209432242	+
MIR4260	1	209623444	209623510	-
MIR3122	1	212077613	212077685	+
MIR215	1	220117853	220117962	-
MIR194-1	1	220118157	220118241	-
MIR664A	1	220200538	220200619	-
MIR320B2	1	224257004	224257141	-
MIR4742	1	224398227	224398311	-
MIR6741	1	225922080	225922142	-
MIR5008	1	227941590	227941683	-
MIR3620	1	228097263	228097341	+
MIR6742	1	228397048	228397109	-
MIR4666A	1	228462074	228462152	+
MIR1182	1	231019828	231019924	-
MIR4427	1	233624152	233624219	+
MIR4671	1	234306467	234306539	+
MIR4753	1	235190034	235190116	-
MIR1537	1	235853000	235853060	-
MIR4428	1	237471119	237471191	+
MIR3123	1	241132272	241132346	+
MIR4677	1	243346176	243346255	+
MIR3916	1	247201967	247202060	-
MIR3124	1	248826377	248826443	+
MIR7158	2	5974662	5974732	+
MIR7515	2	6650373	6650439	+
MIR4261	2	10192614	10192671	-
MIR4429	2	11540605	11540677	-
MIR548S	2	11767444	11767525	+
MIR4262	2	11836933	11836986	-
MIR3681	2	12199130	12199201	+
MIR3125	2	12737367	12737444	+
MIR4757	2	19348429	19348505	+
MIR1301	2	25328640	25328721	-
MIR4263	2	27996367	27996449	+
MIR558	2	32532153	32532246	+
MIR4765	2	32635255	32635331	+
MIR4430	2	33418516	33418564	+
MIR548AD	2	35471405	35471486	+
MIR559	2	47377675	47377770	+
MIR548BA	2	49059603	49059658	+
MIR8485	2	50696172	50696262	-
MIR4431	2	52702522	52702615	-
MIR3682	2	53849122	53849205	-
MIR217	2	55982967	55983076	-
MIR216A	2	55988950	55989059	-
MIR216B	2	56000714	56000795	-
MIR4432	2	60387362	60387445	-
MIR5192	2	62205826	62205917	+
MIR4433B	2	64340747	64340848	-
MIR4433A	2	64340759	64340839	+
MIR4434	2	64525513	64525565	+
MIR4778	2	66358249	66358328	-
MIR3126	2	69103682	69103755	+
MIR1285-2	2	70252918	70253005	-
MIR5000	2	75090812	75090914	+
MIR4264	2	79649294	79649359	-
MIR8080	2	79866495	79866583	-
MIR6071	2	85783600	85783677	-
MIR4779	2	86193026	86193108	-
MIR4771-1	2	87194786	87194859	+
MIR4435-1	2	87629755	87629834	+
MIR4780	2	88082519	88082599	-
MIR4436A	2	88812370	88812454	+
MIR3127	2	96798278	96798353	+
MIR5696	2	101309450	101309534	+
MIR4772	2	102432289	102432366	+
MIR4265	2	109141490	109141588	-
MIR4266	2	109313571	109313625	-
MIR4267	2	110069961	110070042	-
MIR4436B1	2	110086433	110086523	-
MIR4436B2	2	110284853	110284943	+
MIR4435-2	2	111321013	111321086	-
MIR4771-2	2	111771061	111771134	-
MIR1302-3	2	113582959	113583096	-
MIR4782	2	113721290	113721368	-
MIR4783	2	127423537	127423618	-
MIR4784	2	131491160	131491236	-
MIR663B	2	132256966	132257080	-
MIR3679	2	134127125	134127192	+
MIR5590	2	134857820	134857873	+
MIR128-1	2	135665397	135665478	+
MIR7157	2	140586626	140586685	-
MIR4773-2	2	151368334	151368411	-
MIR4773-1	2	151368334	151368411	+
MIR6888	2	159186835	159186901	+
MIR4785	2	160407810	160407882	-
MIR4774	2	168582943	168583018	+
MIR933	2	175167633	175167709	-
MIR10B	2	176150303	176150412	+
MIR7704	2	176188843	176188901	+
MIR1246	2	176600980	176601052	-
MIR4444-1	2	177212726	177212799	+
MIR3128	2	177255945	177256010	-
MIR6512	2	177313806	177313882	-
MIR1258	2	179860836	179860908	-
MIR4437	2	181305593	181305652	-
MIR548AE1	2	184378975	184379044	+
MIR561	2	188297492	188297588	+
MIR1245A	2	188978092	188978161	+
MIR1245B	2	188978093	188978161	-
MIR3606	2	188995630	188995692	+
MIR3129	2	189133036	189133111	-
MIR3130-1	2	206783234	206783308	-
MIR3130-2	2	206783234	206783308	+
MIR2355	2	207109987	207110073	-
MIR7845	2	207166400	207166498	+
MIR1302-4	2	207269275	207269424	-
MIR4775	2	207754807	207754881	+
MIR548F2	2	212426263	212426360	-
MIR4776-2	2	212926257	212926336	-
MIR4776-1	2	212926257	212926336	+
MIR4438	2	213758067	213758159	+
MIR6809	2	217900513	217900628	-
MIR6513	2	218280125	218280188	-
MIR6810	2	218341911	218341980	+
MIR26B	2	218402646	218402722	+
MIR9500	2	218823090	218823154	+
MIR375	2	219001645	219001708	-
MIR3131	2	219058688	219058750	-
MIR153-1	2	219294111	219294200	-
MIR3132	2	219549073	219549147	-
MIR4268	2	219906502	219906565	-
MIR4439	2	225010461	225010540	-
MIR5702	2	226658710	226658793	-
MIR5703	2	227472132	227472187	+
MIR4777	2	231362708	231362793	+
MIR1244-1	2	231713314	231713398	+
MIR1471	2	231892242	231892298	-
MIR562	2	232172653	232172747	+
MIR5001	2	232550474	232550573	-
MIR6811	2	237510931	237510988	+
MIR4440	2	239068817	239068914	-
MIR4441	2	239085827	239085926	-
MIR4269	2	239305462	239305545	+
MIR2467	2	239351724	239351804	-
MIR4786	2	239943015	239943094	-
MIR149	2	240456001	240456089	+
MIR3133	2	241477905	241477982	+
MIR4790	3	5250177	5250255	-
MIR378B	3	10330229	10330285	+
MIR885	3	10394489	10394562	-
MIR4270	3	15496239	15496308	-
MIR3134	3	15697298	15697371	-
MIR563	3	15873771	15873849	+
MIR3714	3	16933196	16933260	+
MIR4791	3	19314848	19314931	-
MIR3135A	3	20137565	20137641	+
ENSG00000265028	3	24521362	24521435	-
MIR4442	3	25664873	25664939	-
MIR466	3	31161704	31161787	-
MIR548AY	3	32506283	32506389	-
MIR128-2	3	35744476	35744559	+
MIR26A1	3	37969404	37969480	+
MIR6822	3	39138206	39138266	+
MIR138-1	3	44114212	44114310	+
MIR564	3	44861888	44861981	+
MIR1226	3	47849555	47849629	+
MIR4443	3	48196564	48196616	+
MIR2115	3	48316360	48316459	-
MIR6823	3	48549961	48550021	-
MIR711	3	48578902	48578977	-
MIR6824	3	48633636	48633698	-
MIR4793	3	48644194	48644280	-
MIR425	3	49020148	49020234	-
MIR191	3	49020618	49020709	-
MIR6890	3	49099854	49099914	-
MIR4271	3	49274120	49274186	+
MIR5193	3	49806137	49806245	-
ENSG00000207922	3	50173326	50173419	+
MIR5787	3	50227436	50227490	+
MIR6872	3	50273236	50273297	+
MIR4787	3	50675080	50675163	+
MIRLET7G	3	52268278	52268361	-
MIR135A1	3	52294219	52294308	-
MIR8064	3	52846463	52846552	-
MIR3938	3	55852492	55852594	-
MIR548BB	3	60617805	60617870	-
MIR4272	3	67225464	67225527	+
MIR3136	3	69048958	69049035	-
MIR1284	3	71541970	71542089	-
MIR4444-2	3	75214476	75214549	+
MIR1324	3	75630763	75630858	+
MIR4273	3	75738280	75738363	+
MIR3923	3	79507887	79507969	+
MIR5688	3	85385710	85385792	+
MIR4795	3	87226189	87226277	-
MIR8060	3	96359964	96360039	+
MIR3921	3	99964314	99964398	-
MIR548AB	3	103524033	103524116	-
MIR4445	3	109602828	109602897	+
MIR567	3	112112801	112112898	+
MIR8076	3	113432118	113432200	-
MIR4446	3	113594876	113594942	+
MIR568	3	114316475	114316569	-
MIR4796	3	114743445	114743525	-
MIR4447	3	116850277	116850367	-
MIR198	3	120395668	120395729	-
MIR5682	3	121049640	121049715	+
MIR7110	3	123161794	123161879	+
MIR5002	3	124132929	124133025	+
MIR6083	3	124374332	124374437	+
MIR544B	3	124732439	124732516	+
MIR5092	3	125151465	125151552	-
MIR548I1	3	125790404	125790552	-
MIR6825	3	127575266	127575331	-
MIR7976	3	127587111	127587176	-
MIR6826	3	129272146	129272243	+
MIR5704	3	131985855	131985931	-
MIR5186	3	151565876	151565995	-
MIR3919	3	159282646	159282734	+
MIR15B	3	160404588	160404685	+
MIR16-2	3	160404745	160404825	+
MIR1263	3	164171471	164171556	-
MIR551B	3	168551854	168551949	+
MIR6828	3	170423103	170423162	+
MIR569	3	171106664	171106759	-
MIR4789	3	175369540	175369621	+
MIR7977	3	176515103	176515151	+
MIR4448	3	183886800	183886885	+
MIR1224	3	184241405	184241489	+
MIR5588	3	185253210	185253272	-
MIR548AQ	3	185767847	185767904	-
MIR1248	3	186786672	186786777	+
MIR28	3	188688781	188688866	+
MIR944	3	189829922	189830009	+
MIR3137	3	195134506	195134580	-
MIR570	3	195699401	195699497	+
MIR6829	3	195882329	195882395	-
MIR4797	3	197293878	197293948	-
MIR922	3	197674496	197674576	-
MIR571	4	350157	350252	+
MIR943	4	1986384	1986477	-
MIR4800	4	2250077	2250156	-
MIR378D1	4	5923275	5923328	-
MIR4798	4	7310450	7310524	+
MIR4274	4	7460028	7460118	+
MIR95	4	8005301	8005381	-
MIR548I2	4	9556168	9556316	-
MIR3138	4	10078611	10078692	-
MIR572	4	11368827	11368921	+
MIR5091	4	13627865	13627957	+
MIR218-1	4	20528275	20528384	+
MIR7978	4	21464700	21464758	-
MIR573	4	24520192	24520290	-
MIR4275	4	28819582	28819668	+
MIR1255B1	4	36426366	36426428	-
MIR4801	4	37241910	37241991	-
MIR574	4	38868032	38868127	+
MIR5591	4	39411910	39411974	+
MIR4802	4	40502040	40502119	-
MIR8053	4	47652669	47652743	+
MIR4449	4	52712682	52712747	+
MIR548AG1	4	60922619	60922684	+
MIR1269A	4	66276824	66276928	+
MIR4450	4	76573568	76573632	+
MIR548AH	4	76575551	76575626	+
ENSG00000266270	4	78820752	78820821	+
MIR575	4	82753337	82753430	-
MIR4451	4	85722468	85722533	+
MIR4452	4	86542482	86542552	-
MIR5705	4	87300495	87300583	-
MIR3684	4	98997387	98997460	+
MIR8066	4	101240795	101240872	-
MIR1255A	4	101330302	101330414	-
MIR576	4	109488698	109488795	+
MIR297	4	110860582	110860647	-
MIR367	4	112647874	112647941	-
MIR302D	4	112648004	112648071	-
MIR302A	4	112648183	112648251	-
MIR302C	4	112648363	112648430	-
MIR302B	4	112648485	112648557	-
MIR1243	4	113106863	113106955	+
MIR8082	4	113152282	113152362	+
MIR577	4	114656759	114656854	+
MIR1973	4	116299725	116299768	+
MIR2054	4	125507259	125507307	+
MIR3139	4	143343460	143343535	+
MIR7849	4	146408583	146408688	+
MIR548G	4	147344629	147344717	-
MIR4799	4	147782595	147782668	+
MIR3140	4	152489327	152489416	-
MIR4453	4	152536428	152536516	+
MIR3688-1	4	159128802	159128894	-
MIR3688-2	4	159128805	159128891	+
MIR4454	4	163093574	163093628	-
MIR578	4	165386242	165386337	+
MIR6082	4	171186184	171186292	+
MIR548T	4	173268160	173268233	+
MIR4276	4	174423795	174423864	+
MIR1305	4	182169293	182169378	+
MIR3945	4	184851013	184851110	-
MIR4455	4	184938383	184938440	-
MIR4456	5	535840	535882	-
MIR4635	5	1062896	1062974	-
MIR4457	5	1309310	1309377	-
MIR6075	5	1510762	1510856	-
MIR4277	5	1708785	1708868	-
MIR4278	5	6827853	6827921	-
MIR4458	5	8460925	8460999	+
MIR4636	5	9053816	9053895	-
MIR6131	5	10478037	10478145	+
MIR4637	5	14825929	14826012	-
MIR887	5	15935182	15935260	+
MIR4279	5	31936102	31936159	-
MIR579	5	32394378	32394475	-
MIR580	5	36147892	36147988	-
MIR3650	5	38557502	38557561	-
MIR581	5	53951504	53951599	-
ENSG00000265421	5	54075518	54075583	-
MIR449A	5	55170532	55170622	-
MIR449B	5	55170646	55170742	-
MIR449C	5	55172262	55172353	-
MIR5687	5	55508850	55508926	-
MIR548AE2	5	58530043	58530109	-
MIR582	5	59703606	59703703	-
MIR4803	5	72169467	72169540	+
MIR4804	5	72878591	72878663	+
MIR3977	5	82840155	82840224	+
SNORD138	5	86620497	86620575	+
MIR4280	5	87114879	87114954	-
MIR9-2	5	88666853	88666939	-
MIR3660	5	90016621	90016720	-
MIR2277	5	93620696	93620788	-
MIR583	5	96079138	96079212	+
MIR548P	5	100816482	100816565	-
MIR548F3	5	110513829	110513915	-
MIR1244-2	5	118974586	118974670	+
MIR5706	5	119154637	119154716	+
MIR4633	5	129097688	129097766	+
MIR4460	5	129397062	129397147	-
MIR6830	5	132217849	132217918	-
MIR3936	5	132365490	132365599	-
MIR1289-2	5	133427596	133427706	-
MIR3661	5	134225757	134225852	+
ENSG00000263963	5	134928039	134928112	+
MIR5692C1	5	135802985	135803075	-
MIR874	5	137647572	137647649	-
MIR6831	5	140563671	140563751	-
MIR3655	5	140647844	140647926	+
MIR5197	5	143679860	143679971	+
MIR584	5	149062313	149062409	-
MIR143	5	149428918	149429023	+
MIR145	5	149430646	149430733	+
MIR378A	5	149732825	149732890	+
MIR6499	5	151522087	151522148	-
MIR1294	5	154347106	154347247	+
MIR3141	5	154596012	154596072	-
MIR1303	5	154685776	154685861	+
MIR378H	5	154829458	154829540	+
MIR3142	5	160474402	160474483	+
MIR146A	5	160485352	160485450	+
MIR103A1	5	168560896	168560973	-
MIR103B1	5	168560904	168560965	+
MIR218-2	5	168768146	168768255	-
MIR585	5	169263601	169263694	-
MIR378E	5	170028488	170028566	+
MIR3912	5	171386656	171386760	-
MIR5003	5	172662165	172662263	+
MIR8056	5	173347455	173347536	+
MIR4634	5	174751734	174751787	+
MIR1271	5	176367946	176368031	+
MIR4281	5	176629439	176629500	-
MIR1229	5	179798278	179798346	-
MIR340	5	180015303	180015397	-
MIR8089	5	181043403	181043484	-
MIR4638	5	181222566	181222633	-
MIR6720	6	1390314	1390411	-
MIR4645	6	2854031	2854107	-
MIR3691	6	5148233	5148322	-
MIR7853	6	6169304	6169435	-
MIR5683	6	6169334	6169409	+
MIR5689	6	10439717	10439794	+
MIR4639	6	16141556	16141624	+
MIR548A1	6	18571784	18571880	+
MIR3143	6	27147626	27147688	+
MIR877	6	30584332	30584417	+
MIR4640	6	30890883	30890972	+
MIR6891	6	31355224	31355316	-
MIR6832	6	31633787	31633858	+
MIR4646	6	31701029	31701091	-
MIR1236	6	31956839	31956940	-
MIR6721	6	32170030	32170116	-
MIR6833	6	32179816	32179876	+
MIR3135B	6	32749912	32749979	-
MIR219A1	6	33207835	33207944	+
MIR6873	6	33287227	33287289	-
MIR6834	6	33290245	33290325	+
MIR5004	6	33438331	33438437	+
MIR3934	6	33698128	33698234	+
MIR7159	6	33899135	33899200	+
MIR1275	6	33999972	34000051	-
MIR6835	6	34240673	34240736	+
MIR7111	6	35470508	35470579	+
MIR5690	6	35664717	35664789	-
MIR3925	6	36622436	36622512	-
MIR4462	6	37555365	37555422	-
MIR4641	6	41598723	41598788	+
MIR6780B	6	43434542	43434620	+
MIR4647	6	44254206	44254285	-
MIR4642	6	44435641	44435722	+
MIR586	6	45197674	45197770	-
MIR206	6	52144349	52144434	+
MIR133B	6	52148923	52149041	+
MIR5685	6	53276993	53277071	+
MIR548U	6	57390132	57390212	+
MIR30C2	6	71376960	71377031	-
MIR30A	6	71403551	71403621	-
MIR4282	6	72967687	72967753	-
MIR4463	6	75428407	75428473	+
MIR4464	6	90312742	90312833	+
MIR4643	6	91521660	91521737	+
MIR2113	6	98024531	98024621	+
MIR548AI	6	99124609	99124696	+
MIR587	6	106784125	106784220	+
MIR548B	6	119069047	119069143	-
MIR3144	6	120015179	120015257	+
MIR588	6	126484631	126484713	+
MIR548H5	6	131792172	131792231	+
MIR548AJ1	6	132115192	132115263	-
MIR3662	6	134979338	134979432	-
MIR548A2	6	135239160	135239256	+
MIR3145	6	138435213	138435294	-
MIR3668	6	140205252	140205326	+
MIR4465	6	140683814	140683883	+
MIR1273C	6	154853360	154853436	+
MIR1202	6	155946797	155946879	+
MIR4466	6	156779678	156779731	-
MIR3692	6	157529132	157529200	+
MIR7161	6	158609707	158609790	+
MIR3918	6	158764661	158764753	-
MIR1913	6	166509354	166509433	-
MIR3939	6	166997807	166997912	-
MIR4644	6	170330761	170330844	+
MIR339	7	1022933	1023026	-
MIR4655	7	1844180	1844253	-
MIR6836	7	2257515	2257577	-
MIR4648	7	2527074	2527145	+
MIR4656	7	4788565	4788639	-
MIR589	7	5495819	5495917	-
MIR6874	7	5711840	5711910	-
MIR3683	7	7066964	7067045	-
MIR1302-6	7	18127220	18127309	-
MIR3146	7	19705358	19705436	-
MIR1183	7	21471058	21471146	+
MIR148A	7	25949919	25949986	-
MIR196B	7	27169480	27169563	-
MIR550A3	7	29680734	29680828	-
MIR550B1	7	30289794	30289890	-
MIR550A1	7	30289794	30289890	+
MIR550B2	7	32732981	32733077	-
MIR550A2	7	32732981	32733077	+
MIR548N	7	34940760	34940834	-
MIR1200	7	36919357	36919432	-
MIR3943	7	43150895	43150994	+
MIR6837	7	44051766	44051829	+
MIR6838	7	44073378	44073433	-
MIR4649	7	44110849	44110912	+
MIR4657	7	44881748	44881800	-
MIR4283-1	7	56955785	56955864	-
MIR3147	7	57405025	57405090	+
MIR4283-2	7	63621090	63621169	+
MIR6839	7	64679064	64679176	+
MIR4650-1	7	67114322	67114397	-
MIR3914-1	7	71307672	71307770	-
MIR3914-2	7	71307674	71307768	+
MIR4650-2	7	72697903	72697978	+
MIR4284	7	73711317	73711397	+
MIR590	7	74191198	74191294	+
MIR4651	7	75915197	75915269	+
MIR1285-1	7	92204015	92204098	-
MIR653	7	93482760	93482855	-
MIR489	7	93483936	93484019	-
MIR4652	7	93716928	93717005	+
MIR591	7	96219662	96219756	-
MIR5692A1	7	97963658	97963726	+
MIR5692C2	7	97964405	97964481	-
MIR3609	7	98881650	98881729	+
MIR25	7	100093560	100093643	-
MIR93	7	100093768	100093847	-
MIR106B	7	100093993	100094074	-
MIR4658	7	100156605	100156669	-
MIR6840	7	100356651	100356721	+
MIR6875	7	100868036	100868107	+
MIR4653	7	101159473	101159555	+
MIR4285	7	102293103	102293187	+
MIR548O	7	102405742	102405855	-
MIR5090	7	102465742	102465826	+
MIR4467	7	102471469	102471531	+
MIR3666	7	114653345	114653455	+
MIR6132	7	117020211	117020319	+
MIR592	7	127058088	127058184	-
MIR593	7	128081861	128081960	+
MIR129-1	7	128207872	128207943	+
MIR182	7	129770383	129770492	-
MIR96	7	129774692	129774769	-
MIR183	7	129774905	129775014	-
MIR335	7	130496111	130496204	+
MIR29A	7	130876747	130876810	-
MIR29B1	7	130877459	130877539	-
MIR3654	7	133034860	133034915	-
MIR6133	7	133290881	133290988	+
MIR6509	7	135206994	135207078	-
MIR490	7	136903167	136903294	+
MIR4468	7	138123758	138123821	+
MIR6892	7	143382686	143382800	+
MIR548F4	7	147378017	147378121	-
MIR671	7	151238421	151238538	+
MIR3907	7	151433489	151433639	-
MIR153-2	7	157574336	157574422	-
MIR595	7	158532718	158532813	-
MIR5707	7	158591616	158591696	+
MIR3674	8	1801125	1801192	+
MIR596	8	1817231	1817307	+
MIR7160	8	2076589	2076640	+
MIR8055	8	6622124	6622220	-
MIR4659A	8	6745164	6745244	+
MIR4659B	8	6745168	6745240	-
MIR548I3	8	8088941	8089089	-
MIR4660	8	9048445	9048518	+
MIR597	8	9741672	9741768	+
MIR124-1	8	9903388	9903472	-
MIR4286	8	10666978	10667070	+
MIR1322	8	10825373	10825443	-
MIR598	8	11035206	11035302	-
MIR5692A2	8	12719132	12719190	+
MIR3926-1	8	12727232	12727304	-
MIR3926-2	8	12727237	12727299	+
MIR383	8	14853438	14853510	-
MIR548V	8	17681578	17681657	-
MIR320A	8	22244962	22245043	-
MIR6841	8	24953796	24953867	-
MIR6876	8	25345402	25345474	+
MIR548H4	8	27048853	27048963	-
MIR6842	8	27433370	27433434	+
MIR6843	8	27610601	27610751	-
MIR3622B	8	27701673	27701767	-
MIR3622A	8	27701677	27701759	+
MIR4287	8	27886039	27886116	-
MIR4288	8	28505116	28505182	-
MIR3148	8	29957272	29957348	-
MIR548AO	8	41271048	41271143	-
MIR486-1	8	41660441	41660508	-
MIR486-2	8	41660444	41660507	+
MIR4469	8	42896197	42896275	-
MIR4470	8	61714788	61714859	+
MIR124-2	8	64379149	64379257	+
MIR5681A	8	74548543	74548617	+
MIR5681B	8	74548550	74548609	-
MIR2052	8	74705693	74705747	+
MIR3149	8	76966768	76966850	-
MIR5708	8	80241389	80241473	+
MIR4661	8	91205485	91205559	+
MIR8084	8	93029751	93029839	+
MIR378D2	8	93916022	93916119	-
MIR3150B	8	95072911	95072996	-
MIR3150A	8	95072914	95072993	+
MIR599	8	99536636	99536730	-
MIR875	8	99536786	99536861	-
ENSG00000221753	8	100023982	100024084	-
MIR4471	8	100382763	100382845	+
MIR7705	8	100702968	100703024	-
MIR5680	8	102125432	102125515	+
MIR3151	8	103154614	103154689	+
MIR548A3	8	104484369	104484465	-
MIR2053	8	112643493	112643583	+
MIR3610	8	116874728	116874800	-
MIR548AZ	8	119325171	119325265	+
MIR4663	8	123215788	123215863	-
MIR548D1	8	123348034	123348130	-
MIR548AA1	8	123348034	123348130	+
MIR6844	8	124508515	124508576	-
MIR4662B	8	124821978	124822058	-
MIR4662A	8	124821985	124822051	+
MIR1204	8	127795962	127796028	+
MIR1205	8	127960633	127960695	+
MIR1206	8	128008898	128008956	+
MIR1207	8	128049152	128049238	+
MIR1208	8	128150116	128150188	+
MIR3686	8	129484057	129484142	-
MIR5194	8	130008334	130008453	-
MIR7848	8	133046481	133046581	-
MIR30B	8	134800520	134800607	-
MIR30D	8	134804876	134804945	-
MIR151A	8	140732564	140732653	-
MIR1302-7	8	141786242	141786313	-
MIR4472-1	8	142176339	142176418	+
MIR4664	8	143733083	143733153	-
MIR937	8	143812957	143813042	-
MIR6845	8	143837756	143837816	-
MIR661	8	143945191	143945279	-
MIR6846	8	144057321	144057380	-
MIR6847	8	144079874	144079942	+
MIR7112	8	144262673	144262737	-
MIR6848	8	144317246	144317315	-
MIR939	8	144394149	144394230	-
MIR1234	8	144400086	144400165	-
MIR6849	8	144400277	144400345	-
MIR6893	8	144435551	144435619	-
MIR6850	8	144791931	144791991	-
MIR1302-9	9	30144	30281	+
MIR101-2	9	4850297	4850375	+
MIR4665	9	6007826	6007904	+
MIR3152	9	18573306	18573379	+
MIR4473	9	20411148	20411238	-
MIR4474	9	20502265	20502342	-
MIR491	9	20716105	20716188	+
MIR31	9	21512115	21512185	-
MIR876	9	28863626	28863706	-
MIR873	9	28888879	28888955	-
MIR6851	9	33467869	33467935	-
MIR4667	9	35608094	35608159	+
MIR6852	9	35710676	35710741	-
MIR6853	9	35732922	35732995	+
MIR4475	9	36823539	36823599	-
MIR4540	9	36864254	36864308	-
MIR4476	9	36893462	36893531	-
MIR1299	9	40929010	40929092	-
MIR4477A	9	41233755	41233835	+
MIR4477B	9	63819574	63819654	+
MIR204	9	70809975	70810084	-
MIR7-1	9	83969748	83969857	-
MIR4289	9	88745836	88745905	-
MIR3153	9	89312225	89312306	+
MIR4290	9	90023441	90023535	-
MIR3910-1	9	91636251	91636361	+
MIR3910-2	9	91636264	91636345	-
MIR3651	9	92292458	92292547	-
MIR4670	9	92527984	92528058	-
MIR548AU	9	93594841	93594894	+
MIR4291	9	93819357	93819421	+
MIRLET7A1	9	94175957	94176036	+
MIRLET7F1	9	94176347	94176433	+
MIRLET7D	9	94178834	94178920	+
